route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
630-3184,630,"Noosa - Nambour via Eumundi",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/630,8DC63F,000000
631-3086,631,"Noosa - Nambour via Cooroy and Eumundi",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/631,8DC63F,000000
631-3184,631,"Noosa - Nambour via Cooroy and Eumundi",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/631,8DC63F,000000
632-3086,632,"Noosa - Cooran via Cooroy and Pomona",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/632,8DC63F,000000
632-3184,632,"Noosa - Cooran via Cooroy and Pomona",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/632,8DC63F,000000
636-3086,636,"Nambour - University via Buderim",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/636,8DC63F,000000
636-3184,636,"Nambour - University via Buderim",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/636,8DC63F,000000
637-3086,637,"Nambour local loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/637,8DC63F,000000
637-3184,637,"Nambour local loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/637,8DC63F,000000
638-3086,638,"Nambour - Palmwoods loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/638,8DC63F,000000
638-3184,638,"Nambour - Palmwoods loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/638,8DC63F,000000
640-2911,640,"Bribie Island - Caboolture station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/640,8DC63F,000000
641-2911,641,"Banksia Beach - Bongaree (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/641,8DC63F,000000
642-2911,642,"Bribie Island PnR - Bongaree via Bellara",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/642,8DC63F,000000
643-2911,643,"Bribie Island - Caboolture via Sandstone Point",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/643,8DC63F,000000
644-2911,644,"Sandstone Point - Bribie Island park 'n' ride",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/644,8DC63F,000000
649-3032,649,"Caboolture Station - Nambour Station (Rail Bus)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/649,8DC63F,000000
651-2911,651,"Morayfield station - West Caboolture (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/651,8DC63F,000000
652-2911,652,"Caboolture Square - Beachmere (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/652,8DC63F,000000
653-2911,653,"Caboolture stn - Morayfield stn via Bellmere",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/653,8DC63F,000000
654-2911,654,"Morayfield stn - Caboolture stn via Bellmere",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/654,8DC63F,000000
655-2911,655,"Caboolture station - Hospital-TAFE-USC (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/655,8DC63F,000000
656-2911,656,"Morayfield station - Upper Caboolture (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/656,8DC63F,000000
657-2911,657,"Caboolture station - Caboolture North (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/657,8DC63F,000000
660-3032,660,"Caboolture Station - Redcliffe via Kippa-Ring",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/660,8DC63F,000000
662-3032,662,"Moreton Downs - Rothwell Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/662,8DC63F,000000
663-3032,663,"Narangba Local Service (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/663,8DC63F,000000
664-3032,664,"Burpengary Local Service (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/664,8DC63F,000000
665-3032,665,"Deception Bay - Rothwell Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/665,8DC63F,000000
667-3032,667,"Morayfield Local Service (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/667,8DC63F,000000
668-3032,668,"Narangba Station - North Lakes",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/668,8DC63F,000000
